4.1461 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
4.7330 	EXP 	Created text_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace=u'rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image=UNKNOWN, interpolate=False, mask=None, maskParams=None, name='text_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.,  1.]), texRes=128, units=u'norm', win=Window(...))
4.7462 	EXP 	Created responsee = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=43, italic=False, name='responsee', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'make a response', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
4.7686 	EXP 	Created End = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=117, italic=False, name='End', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='cm', win=Window(...), wrapWidth=UNKNOWN)
4.7691 	EXP 	Imported instructions.csv as conditions, 2 conditions, 1 params
4.7694 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
4.7699 	EXP 	New trial (rep=0, index=0): {'text': u'Instructions 1!'}
4.8001 	EXP 	TextStim: autoLog = None
4.8001 	EXP 	TextStim: autoLog = None
4.8001 	EXP 	ImageStim: autoLog = None
4.8001 	EXP 	TextStim: autoLog = None
4.8001 	EXP 	TextStim: autoLog = None
4.8001 	EXP 	Set Instructions text=Instructions 1!
4.8001 	EXP 	TextStim: autoDraw = None
4.8001 	EXP 	TextStim: autoDraw = None
7.3338 	DATA 	Keypress: escape
3.3489 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
4.3546 	EXP 	Created Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=39, italic=False, name='Instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units='cm', win=Window(...), wrapWidth=UNKNOWN)
4.3688 	EXP 	Created Space = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=39, italic=False, name='Space', opacity=1.0, ori=0, pos=array([ -5., -10.]), rgb=array([ 255.,  255.,  255.]), text=u'Press SPACE to continue', units=u'cm', win=Window(...), wrapWidth=UNKNOWN)
4.3732 	EXP 	Created text_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace=u'rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image=UNKNOWN, interpolate=False, mask=None, maskParams=None, name='text_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.,  1.]), texRes=128, units=u'norm', win=Window(...))
4.3859 	EXP 	Created responsee = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=43, italic=False, name='responsee', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'make a response', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
4.4083 	EXP 	Created End = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=117, italic=False, name='End', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='cm', win=Window(...), wrapWidth=UNKNOWN)
4.4088 	EXP 	Imported instructions.csv as conditions, 2 conditions, 1 params
4.4091 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
4.4096 	EXP 	New trial (rep=0, index=0): {'text': u'Instructions 1!'}
4.4411 	EXP 	TextStim: autoLog = None
4.4411 	EXP 	TextStim: autoLog = None
4.4411 	EXP 	ImageStim: autoLog = None
4.4411 	EXP 	TextStim: autoLog = None
4.4411 	EXP 	TextStim: autoLog = None
4.4411 	EXP 	Set Instructions text=Instructions 1!
4.4411 	EXP 	TextStim: autoDraw = None
4.4411 	EXP 	TextStim: autoDraw = None
12.3308 	DATA 	Keypress: escape
